recordId,acm,dblp,similarityScore
5390972920f70186a0dfac8653e9a018b7602d97028fcb40,"{'publicationTitle': 'The role of cryptography in database security', 'Authors': ""['Ueli Maurer']"", 'yearOfPublication': 2004, 'publicationVenue': 'SIGMOD', 'publicationID': '5390972920f70186a0dfac86'}","{'publicationTitle': 'The Role of Cryptography in Database Security.', 'Authors': ""['Ueli M. Maurer']"", 'yearOfPublication': 2004, 'publicationVenue': 'SIGMOD', 'publicationID': '53e9a018b7602d97028fcb40'}",0.75
5390972920f70186a0dfac8d53e9a146b7602d9702a3924a,"{'publicationTitle': 'Tree logical classes for efficient evaluation of XQuery', 'Authors': ""['Stelios Paparizos', 'Yuqing Wu', 'Laks V. S. Lakshmanan', 'H. V. Jagadish']"", 'yearOfPublication': 2004, 'publicationVenue': 'SIGMOD', 'publicationID': '5390972920f70186a0dfac8d'}","{'publicationTitle': 'Tree Logical Classes for Efficient Evaluation of XQuery.', 'Authors': ""['Stelios Paparizos', 'Yuqing Wu', 'Laks V. S. Lakshmanan', 'H. V. Jagadish']"", 'yearOfPublication': 2004, 'publicationVenue': 'SIGMOD', 'publicationID': '53e9a146b7602d9702a3924a'}",0.7777777777777778
5390972920f70186a0dfac8853e9a32eb7602d9702c39d26,"{'publicationTitle': 'Adaptive stream resource management using Kalman Filters', 'Authors': ""['Ankur Jain', 'Edward Y. Chang', 'Yuan-Fang Wang']"", 'yearOfPublication': 2004, 'publicationVenue': 'SIGMOD', 'publicationID': '5390972920f70186a0dfac88'}","{'publicationTitle': 'Adaptive Stream Resource Management Using Kalman Filters.', 'Authors': ""['Ankur Jain', 'Edward Y. Chang', 'Yuan-Fang Wang']"", 'yearOfPublication': 2004, 'publicationVenue': 'SIGMOD', 'publicationID': '53e9a32eb7602d9702c39d26'}",0.75
5390972920f70186a0dfac8953e9b648b7602d97041a4473,"{'publicationTitle': 'Online event-driven subsequence matching over financial data streams', 'Authors': ""['Huanmei Wu', 'Betty Salzberg', 'Donghui Zhang']"", 'yearOfPublication': 2004, 'publicationVenue': 'SIGMOD', 'publicationID': '5390972920f70186a0dfac89'}","{'publicationTitle': 'Online Event-driven Subsequence Matching over Financial Data Streams.', 'Authors': ""['Huanmei Wu', 'Betty Salzberg', 'Donghui Zhang']"", 'yearOfPublication': 2004, 'publicationVenue': 'SIGMOD', 'publicationID': '53e9b648b7602d97041a4473'}",0.7777777777777778
5390972920f70186a0dfac9153e9ac95b7602d970366b9bb,"{'publicationTitle': 'Using the structure of Web sites for automatic segmentation of tables', 'Authors': ""['Kristina Lerman', 'Lise Getoor', 'Steven Minton', 'Craig Knoblock']"", 'yearOfPublication': 2004, 'publicationVenue': 'SIGMOD', 'publicationID': '5390972920f70186a0dfac91'}","{'publicationTitle': 'Using the Structure of Web Sites for Automatic Segmentation of Tables.', 'Authors': ""['Kristina Lerman', 'Lise Getoor', 'Steven Minton', 'Craig A. Knoblock']"", 'yearOfPublication': 2004, 'publicationVenue': 'SIGMOD', 'publicationID': '53e9ac95b7602d970366b9bb'}",0.8181818181818181
5390972920f70186a0dfac8e53e9b03db7602d9703a9bd57,"{'publicationTitle': 'FleXPath: flexible structure and full-text querying for XML', 'Authors': ""['Sihem Amer-Yahia', 'Laks V. S. Lakshmanan', 'Shashank Pandit']"", 'yearOfPublication': 2004, 'publicationVenue': 'SIGMOD', 'publicationID': '5390972920f70186a0dfac8e'}","{'publicationTitle': 'FleXPath: Flexible Structure and Full-Text Querying for XML.', 'Authors': ""['Sihem Amer-Yahia', 'Laks V. S. Lakshmanan', 'Shashank Pandit']"", 'yearOfPublication': 2004, 'publicationVenue': 'SIGMOD', 'publicationID': '53e9b03db7602d9703a9bd57'}",0.7777777777777778
5390972920f70186a0dfac8f53e9b27bb7602d9703d21ece,"{'publicationTitle': 'An interactive clustering-based approach to integrating source query interfaces on the deep Web', 'Authors': ""['Wensheng Wu', 'Clement Yu', 'AnHai Doan', 'Weiyi Meng']"", 'yearOfPublication': 2004, 'publicationVenue': 'SIGMOD', 'publicationID': '5390972920f70186a0dfac8f'}","{'publicationTitle': 'An Interactive Clustering-based Approach to Integrating Source Query interfaces on the Deep Web.', 'Authors': ""['Wensheng Wu', 'Clement T. Yu', 'AnHai Doan', 'Weiyi Meng']"", 'yearOfPublication': 2004, 'publicationVenue': 'SIGMOD', 'publicationID': '53e9b27bb7602d9703d21ece'}",0.8571428571428572
5390972920f70186a0dfac9a53e99a35b7602d97022963e6,"{'publicationTitle': 'Lazy query evaluation for Active XML', 'Authors': ""['Serge Abiteboul', 'Omar Benjelloun', 'Bogdan Cautis', 'Ioana Manolescu', 'Tova Milo', 'Nicoleta Preda']"", 'yearOfPublication': 2004, 'publicationVenue': 'SIGMOD', 'publicationID': '5390972920f70186a0dfac9a'}","{'publicationTitle': 'Lazy Query Evaluation for Active XML.', 'Authors': ""['Serge Abiteboul', 'Omar Benjelloun', 'Bogdan Cautis', 'Ioana Manolescu', 'Tova Milo', 'Nicoleta Preda']"", 'yearOfPublication': 2004, 'publicationVenue': 'SIGMOD', 'publicationID': '53e99a35b7602d97022963e6'}",0.7142857142857143
5390972920f70186a0dfac9c53e998dbb7602d97021143ef,"{'publicationTitle': ""Colorful XML: one hierarchy isn't enough"", 'Authors': ""['H. V. Jagadish', 'Laks V. S. Lakshmanan', 'Monica Scannapieco', 'Divesh Srivastava', 'Nuwee Wiwatwattana']"", 'yearOfPublication': 2004, 'publicationVenue': 'SIGMOD', 'publicationID': '5390972920f70186a0dfac9c'}","{'publicationTitle': ""Colorful XML: One Hierarchy Isn't Enough."", 'Authors': ""['H. V. Jagadish', 'Laks V. S. Lakshmanan', 'Monica Scannapieco', 'Divesh Srivastava', 'Nuwee Wiwatwattana']"", 'yearOfPublication': 2004, 'publicationVenue': 'SIGMOD', 'publicationID': '53e998dbb7602d97021143ef'}",0.7142857142857143
5390972920f70186a0dfac9f53e9b03db7602d9703a9bd2e,"{'publicationTitle': 'Effective use of block-level sampling in statistics estimation', 'Authors': ""['Surajit Chaudhuri', 'Gautam Das', 'Utkarsh Srivastava']"", 'yearOfPublication': 2004, 'publicationVenue': 'SIGMOD', 'publicationID': '5390972920f70186a0dfac9f'}","{'publicationTitle': 'Effective Use of Block-Level Sampling in Statistics Estimation.', 'Authors': ""['Surajit Chaudhuri', 'Gautam Das', 'Utkarsh Srivastava']"", 'yearOfPublication': 2004, 'publicationVenue': 'SIGMOD', 'publicationID': '53e9b03db7602d9703a9bd2e'}",0.7777777777777778
